Year,Month,day,sunrise,sunset,time,height,time,height,time,height,time,height,coefficient,coefficientCategory
2018,4,M,18:31,,,,,,,,,,medium,
2018,4,,,,6,0:44,1.6,4:04,8.2,11:44,,18:11,,
2018,4,,,8:43,,,,,,,,,,69
2018,4,25,8:43,18:29,0:44,4.4,4:04,5.6,11:44,2.4,18:11,7.7,69,medium
2018,4,X,18:29,,,,,,,,,,medium,
2018,4,,,,4.4,2:15,5.6,6:06,2.4,13:25,7.7,19:28,,
2018,4,,,8:45,,,,,,,,,,80
2018,4,26,8:45,18:27,2:15,4,6:06,5.6,13:25,2.8,19:28,7.7,80,high
2018,4,J,18:27,,,,,,,,,,high,
2018,4,,,,4,3:22,5.6,7:59,2.8,15:06,7.7,20:30,,
2018,4,,,8:46,,,,,,,,,,88
2018,4,27,8:46,18:25,3:22,3.6,7:59,6,15:06,3.2,20:30,7.3,88,high
2018,4,V,18:25,,,,,,,,,,high,
2018,4,,,,3.6,4:08,6,9:12,3.2,16:22,7.3,21:18,,
2018,4,,,8:48,,,,,,,,,,93
2018,4,28,8:48,18:23,4:08,2.8,9:12,6.9,16:22,3.2,21:18,7.3,93,very high
2018,4,S,18:23,,,,,,,,,,very high,
2018,4,,,,2.8,4:46,6.9,10:03,3.2,17:18,7.3,21:57,,
2018,4,,,8:50,,,,,,,,,,94
2018,4,29,8:50,18:21,4:46,2,10:03,8.2,17:18,2.8,21:57,7.3,94,very high
2018,4,D,18:21,,,,,,,,,,very high,
2018,4,,,,2,5:19,8.2,10:46,2.8,18:05,7.3,22:31,,
2018,4,,,8:51,,,,,,,,,,91
2018,4,30,8:51,18:19,5:19,1.6,10:46,8.6,18:05,2.8,22:31,7.3,91,very high
2018,4,L,18:19,,,,,,,,,,very high,
2018,4,,,,1.6,5:25,8.6,8:55,2.8,16:29,7.3,22:31,,
2018,4,,,7:07,,,,,,,,,,104
2018,3,1,7:07,20:34,5:25,4,8:55,6,16:29,1.2,22:31,9,104,very high
2018,3,J,20:34,,,,,,,,,,very high,
2018,3,,,,4,6:01,6,10:02,1.2,17:27,9,23:10,,
2018,3,,,7:09,,,,,,,,,,106
2018,3,2,7:09,20:32,6:01,3.2,10:02,6.9,17:27,1.2,23:10,9.5,106,very high
2018,3,V,20:32,,,,,,,,,,very high,
